지점정보,2020강수량(mm),2021강수량(mm),2022강수량(mm),2023강수량(mm),2024강수량(mm),2020~2024강수량(mm),2020~2024 호우주의보 개수,강수량_정규화,호우_정규화,통합점수,"백분위(강수량 0.5, 호우 * 0.5)"
산청(289),1484.3,1264.2,605,1226.1,583.7,5163.3,26,1,0.010050251,0.505025126,100
거제(294),1247.6,1121,608.6,1344.8,780.7,5102.7,14,0.987094851,0.005411674,0.496253262,98.96907216
부산(159),1517.1,1113.4,473.7,1155.5,622.6,4882.3,99,0.940159291,0.038268264,0.489213778,97.93814433
철원(95),1179.7,404.4,1105.2,845.4,1090.5,4625.2,87,0.885408237,0.033629687,0.459518962,96.90721649
통영(162),1252.5,1063.8,440.2,1215.5,710.5,4682.5,44,0.897610631,0.017008118,0.457309374,95.87628866
전주(146),1303.7,855.2,659.5,1179.7,629.3,4627.4,40,0.885876741,0.015461925,0.450669333,94.84536082
광주(156),1471.3,684.4,407.1,1467,531.6,4561.4,64,0.871821628,0.02473908,0.448280354,93.81443299
서울(108),1085.7,484.1,1210.9,953.6,746,4480.3,68,0.854550875,0.026285273,0.440418074,92.78350515
영주(272),1226,692,651,1418.1,600.1,4587.2,8,0.877315899,0.003092385,0.440204142,91.75257732
남원(247),1418.2,734.3,550.8,1196.1,650.7,4550.1,24,0.869415222,0.009277155,0.439346189,90.72164948
파주(99),1045.2,327.3,1153.6,900.8,1019.8,4446.7,54,0.847395545,0.020873599,0.434134572,89.69072165
충주(127),969.9,681,1026.8,1041.8,700.7,4420.2,55,0.841752204,0.021260147,0.431506175,88.65979381
강화(201),910.1,386.7,1612,750.7,851,4510.5,0,0.860982154,0,0.430491077,87.62886598
창원(155),996.1,1074.8,586.5,1187.6,538.1,4383.1,52,0.833851527,0.020100503,0.426976015,86.59793814
부여(236),1235.4,703.6,594.8,1303.1,602.8,4439.7,11,0.845904851,0.004252029,0.42507844,85.56701031
대전(133),1099,546.9,808.7,1250.7,649.3,4354.6,48,0.827782274,0.01855431,0.423168292,84.53608247
세종(239),1089,731.4,575.6,1280.7,717.1,4393.8,19,0.836130159,0.007344414,0.421737287,83.50515464
순천(174),1243.9,695.8,553.4,1226.7,640.9,4360.7,35,0.829081307,0.013529184,0.421305246,82.4742268
서귀포(189),1178.4,781.2,496.6,1016.2,933.8,4406.2,0,0.838770816,0,0.419385408,81.44329897
수원(119),1135.1,345.6,1355.9,822.7,668.4,4327.7,20,0.82205375,0.007730963,0.414892356,80.41237113
군산(140),1163.4,568.4,588,1228.2,699.2,4247.2,61,0.804910771,0.023579436,0.414245103,79.3814433
여수(168),1099.1,945.2,562.6,1027.6,590.9,4225.4,73,0.800268325,0.028218013,0.414243169,78.35051546
동두천(98),1134.4,344.1,1332.3,829.9,621.4,4262.1,44,0.80808382,0.017008118,0.412545969,77.31958763
순창군(254),920.1,858.8,508.7,1426.4,595.1,4309.1,0,0.818092764,0,0.409046382,76.28865979
정읍(245),1444.4,633.2,483.2,1196.4,510.6,4267.8,13,0.80929767,0.005025126,0.407161398,75.25773196
제천(221),1259.8,516.5,650.7,1077.5,738.6,4243.1,15,0.804037651,0.005798222,0.404917936,74.22680412
보령(235),1048.8,492.2,907.5,975.1,796,4219.6,21,0.799033179,0.008117511,0.403575345,73.19587629
봉화(271),1025.3,617.1,698.7,1215.1,649.9,4206.1,17,0.796158269,0.006571318,0.401364794,72.16494845
양산시(257),1027.7,1053.2,524.1,1128.5,483,4216.5,0,0.798373014,0,0.399186507,71.13402062
장수(248),1077.5,671,308.5,1406,721.3,4184.3,13,0.791515823,0.005025126,0.398270474,70.10309278
임실(244),1105.8,743.2,477.3,1244.8,578,4149.1,27,0.784019762,0.010436799,0.397228281,69.07216495
금산(238),1151.7,480.6,779,1070.1,677.9,4159.3,10,0.786191916,0.003865481,0.395028699,68.04123711
밀양(288),1564.9,556.4,556.2,1076.2,380.1,4133.8,9,0.780761532,0.003478933,0.392120232,67.01030928
양평(202),1128.8,354.9,1030.9,895.1,699.2,4108.9,21,0.775458921,0.008117511,0.391788216,65.97938144
부안(243),1319.9,707.4,566.5,1062.9,440.4,4097.1,18,0.772946037,0.006957866,0.389951952,64.94845361
보성군(258),983.7,902.3,487.1,1089.3,660.5,4122.9,0,0.778440308,0,0.389220154,63.91752577
서산(129),873.4,410.3,999.5,870.1,874.1,4027.4,40,0.758102986,0.015461925,0.386782455,62.88659794
청주(131),918.3,446.6,820.7,1096.7,718.4,4000.7,46,0.752417054,0.017781214,0.385099134,61.8556701
북춘천(93),1083.9,452.6,1028.7,802.4,628.3,3995.9,41,0.751394863,0.015848473,0.383621668,60.82474227
광양시(266),744.8,832.2,345.7,1398.6,742.8,4064.1,0,0.76591848,0,0.38295924,59.79381443
진주(192),917.7,297.8,991.7,1247.4,558.9,4013.5,27,0.755142894,0.010436799,0.382789847,58.7628866
영월(121),908,513.8,911.5,962.4,697.5,3993.2,34,0.750819882,0.013142636,0.381981259,57.73195876
김해시(253),1562.8,622.4,479.4,927.7,456,4048.3,0,0.762553771,0,0.381276886,56.70103093
성산(188),887.3,737.6,804.8,789.4,822.7,4041.8,0,0.761169556,0,0.380584778,55.67010309
원주(114),888.3,505.7,977.9,836.3,722.2,3930.4,59,0.737446229,0.022806339,0.380126284,54.63917526
상주(137),1087.5,598,520.9,1025.5,712.5,3944.4,49,0.740427616,0.018940858,0.379684237,53.60824742
의령군(263),1395.3,670,401.7,1074.1,485.8,4026.9,0,0.757996508,0,0.378998254,52.57731959
정선군(217),1081.9,479.6,1070.1,815,580.2,4026.8,0,0.757975212,0,0.378987606,51.54639175
이천(203),851.1,335.1,967.6,957.1,864.8,3975.7,21,0.747093147,0.008117511,0.377605329,50.51546392
홍성(177),1001.7,462.8,857.8,861.7,785.2,3969.2,22,0.745708931,0.008504059,0.377106495,49.48453608
강진군(259),1020.7,893.3,447.1,1083.3,537.2,3981.6,0,0.748349589,0,0.374174794,48.45360825
춘천(101),1023.8,398.8,1102.4,791.9,658.1,3975,0,0.746944078,0,0.373472039,47.42268041
북창원(255),983.7,1012.6,377.1,1098.8,455.6,3927.8,0,0.736892542,0,0.368446271,46.39175258
천안(232),807.1,440,981.8,950.3,682.7,3861.9,11,0.722858725,0.004252029,0.363555377,45.36082474
보은(226),960,392.4,651.6,1209.1,631.5,3844.6,12,0.719174582,0.004638578,0.36190658,44.32989691
함양군(264),1172.6,538.5,537.1,1121.4,473.6,3843.2,0,0.718876443,0,0.359438221,43.29896907
인천(112),830.1,398.6,1137.1,784.5,531.4,3681.7,79,0.684484007,0.030537302,0.357510654,42.26804124
고흥(262),1086.3,887.9,425.2,904.7,490,3794.1,14,0.70842029,0.005411674,0.356915982,41.2371134
거창(284),1226.2,620.3,423.9,997.1,517.2,3784.7,16,0.706418502,0.00618477,0.356301636,40.20618557
장흥(260),731,800.4,379.9,1150.5,631.5,3693.3,24,0.6869543,0.009277155,0.348115727,39.17525773
인제(211),1048.8,325.7,1123.2,693.9,541.7,3733.3,1,0.69547255,0.000386548,0.347929549,38.1443299
속초(90),1057.9,395,785.5,977.9,289.5,3505.8,65,0.647025001,0.025125628,0.336075315,37.11340206
추풍령(135),1015.6,553.5,560.2,933.2,559.6,3622.1,0,0.671791814,0,0.335895907,36.08247423
합천(285),805.5,679.4,522.2,1122.2,460.9,3590.2,14,0.664998509,0.005411674,0.335205092,35.05154639
태백(216),748.7,442.3,975.4,879.1,560.8,3606.3,2,0.668427105,0.000773096,0.334600101,34.02061856
고산(185),909.4,826.8,663.5,646.7,503.7,3550.1,0,0.656458963,0,0.328229482,32.98969072
의성(278),1033.1,593.9,465.4,985.8,426.7,3504.9,5,0.64683334,0.001932741,0.324383041,31.95876289
해남(261),820.9,807.3,464.9,879.5,498,3470.6,17,0.639528941,0.006571318,0.323050129,30.92783505
영광군(252),974.1,908.1,434.7,817.7,351.7,3486.3,0,0.642872354,0,0.321436177,29.89690722
문경(273),755.9,421.1,396.1,1223.2,647.5,3443.8,9,0.633821713,0.003478933,0.318650323,28.86597938
제주(184),719.5,493.9,574.4,668.7,474.8,2931.3,262,0.52468163,0.101275609,0.31297862,27.83505155
완도(170),725.8,937,246,783.4,589.6,3281.8,53,0.599322799,0.020487051,0.309904925,26.80412371
서청주(181),546.6,597.3,416.9,1088.2,719.1,3368.1,0,0.617700924,0,0.308850462,25.77319588
고창군(251),1094.1,624,363.2,838.9,425.7,3345.9,0,0.612973295,0,0.306486648,24.74226804
북강릉(104),851.2,655.5,711.1,783.3,283.1,3284.2,33,0.599833894,0.012756088,0.306294991,23.71134021
홍천(212),708.3,559.1,614.7,761.5,666,3309.6,15,0.605242983,0.005798222,0.305520602,22.68041237
진도군(268),822.7,475.8,666.4,806.5,564.2,3335.6,0,0.610779846,0,0.305389923,21.64948454
울산(152),854,727,410.6,811.6,422.9,3226.1,57,0.587461135,0.022033243,0.304747189,20.6185567
목포(165),834.2,560.2,378.8,950.9,527.8,3251.9,31,0.592955407,0.011982992,0.302469199,19.58762887
구미(279),727.4,572.1,416.7,1143.9,426,3286.1,9,0.600238511,0.003478933,0.301858722,18.55670103
강릉(105),796.7,612.8,721.4,785.5,296.7,3213.1,0,0.584692704,0,0.292346352,17.5257732
대관령(100),836.5,420.6,834.1,680,417.7,3188.9,0,0.579539163,0,0.289769581,16.49484536
안동(136),835.9,374.6,409.9,962.5,530.7,3113.6,39,0.563503556,0.015075377,0.289289467,15.46391753
경주시(283),1240,621.8,312.1,561.5,411.6,3147,0,0.570616295,0,0.285308148,14.43298969
고창(172),952.9,674.4,377.8,574.9,441.4,3021.4,39,0.543868989,0.015075377,0.279472183,13.40206186
대구(143),838.5,464.7,313.9,790.2,588.8,2996.1,34,0.538481196,0.013142636,0.275811916,12.37113402
영천(281),705.3,564.3,359,748.8,523.7,2901.1,10,0.518250351,0.003865481,0.261057916,11.34020619
청송군(276),796.4,654.5,294.3,849.7,310.2,2905.1,0,0.519102176,0,0.259551088,10.30927835
동해(106),638.4,574.7,514.9,579.8,289.7,2597.5,77,0.453596831,0.029764206,0.241680518,9.278350515
흑산도(169),689.9,410.9,281.7,794.3,395.4,2572.2,66,0.448209038,0.025512176,0.236860607,8.24742268
백령도(102),636.6,564.6,630.7,486.7,354.7,2673.3,0,0.469738916,0,0.234869458,7.216494845
포항(138),639,690.2,325.2,578.3,387.2,2619.9,29,0.458367051,0.011209896,0.234788474,6.18556701
울진(130),758.5,461,332.4,581.2,359.4,2492.5,37,0.431236424,0.014302281,0.222769352,5.154639175
영덕(277),740.4,418,386.3,590.3,222.4,2357.4,7,0.402466033,0.002705837,0.202585935,4.12371134
울릉도(115),477.5,483.5,485,388.9,328.8,2163.7,57,0.361216406,0.022033243,0.191624825,3.092783505
남해(295),,,,1478.9,748.5,2227.4,14,0.37478172,0.005411674,0.190096697,2.06185567
북부산(296),,,,,467.5,467.5,0,0,0,0,1.030927835
,,,,,,,2587,,1,,
